Wavelength (nm),HL1,HL2,HL3
577,0.386249811,0.684183896,0.129729465
578,0.388499141,0.681707025,0.129368499
579,0.390215516,0.67804414,0.128823429
580,0.391364515,0.675786316,0.12817429
581,0.391683012,0.673389018,0.127496466
582,0.39155215,0.671799719,0.12733753
583,0.391384751,0.669264436,0.126907349
584,0.392961681,0.668287873,0.126848176
585,0.394594163,0.665875077,0.125570744
586,0.396037906,0.664705694,0.125331283
587,0.3963117,0.662915528,0.124989577
588,0.396658003,0.661628604,0.125546798
589,0.397278935,0.660143435,0.124572761
590,0.396556079,0.658267438,0.124269217
591,0.39545694,0.657759368,0.123756394
592,0.394799888,0.656046987,0.123971231
593,0.394586325,0.654854477,0.1232768
594,0.394616097,0.653402031,0.122704461
595,0.394613296,0.652128339,0.122567959
596,0.394600958,0.651438296,0.122203007
597,0.394455016,0.650296748,0.122661956
598,0.395213753,0.650092065,0.121946059
599,0.394342363,0.649584353,0.12140806
600,0.395177275,0.648287654,0.12122912
601,0.395858824,0.647985578,0.121443294
602,0.397578001,0.646746278,0.120286904
603,0.397316694,0.646045089,0.120253816
604,0.397865295,0.644514561,0.12008743
605,0.39700079,0.643794417,0.119620428
606,0.39702031,0.641955316,0.11865288
607,0.396770716,0.640783131,0.118660159
608,0.397487849,0.639602661,0.118273839
609,0.397280633,0.637427449,0.117748514
610,0.397557437,0.6363042,0.11729148
611,0.397461116,0.634373903,0.116901659
612,0.397516459,0.633296192,0.116548382
613,0.397375792,0.631383658,0.115821801
614,0.398087502,0.630207241,0.115289748
615,0.398815006,0.628965914,0.115451813
616,0.399094582,0.627802968,0.114459597
617,0.399947435,0.627146244,0.1145401
618,0.402101219,0.626576662,0.11377687
619,0.404204369,0.626543701,0.113265149
620,0.406590134,0.626464009,0.11292439
621,0.407717049,0.626285672,0.112680949
622,0.409650445,0.625666142,0.111944862
623,0.411952674,0.625758767,0.111718819
624,0.414120406,0.625218153,0.111824155
625,0.416463018,0.624140143,0.110805109
626,0.418250471,0.623727739,0.110604897
627,0.419460774,0.62255007,0.110171892
628,0.422198027,0.621786833,0.109617055
629,0.423716486,0.621021032,0.109641343
630,0.425392985,0.620577812,0.108892195
631,0.427048266,0.620022476,0.108848549
632,0.428069651,0.619356036,0.108598582
633,0.428378612,0.618504405,0.108072646
634,0.42848289,0.617601872,0.10767366
635,0.429322839,0.617268622,0.107052743
636,0.430220723,0.61695534,0.106842637
637,0.430927157,0.616128981,0.106293321
638,0.432500422,0.615593612,0.106164686
639,0.433658719,0.615243077,0.105774067
640,0.435400546,0.614583671,0.105652183
641,0.438216209,0.615218639,0.105270863
642,0.439391851,0.613838911,0.104470685
643,0.441938222,0.613629699,0.104627512
644,0.443659872,0.613020241,0.104407147
645,0.44657141,0.612357676,0.104192525
646,0.448516399,0.612068474,0.103458583
647,0.451308042,0.610655427,0.103672318
648,0.453721732,0.609480441,0.103549779
649,0.456579298,0.609067023,0.103233986
650,0.459591687,0.60810107,0.103019968
651,0.461625695,0.607147634,0.102582425
652,0.464760274,0.606486619,0.102239065
653,0.467116714,0.605804563,0.101200827
654,0.470087796,0.604480982,0.101839252
